benj!,86392579855253504,17
"Pupi, Saksa's best simp",492549065041510403,16
"Tundra | Braunbaerin""TundraGirl""",282101186759491584,15
spectrre,590144903850229770,15
Jester - Skitgod Enjoyer,143603423852494858,13
SilentKing | Mario,619079081702588426,12
Haneef_Ken,356618651878555651,8
/deen,262159215005663233,7
Ragnorak,184763125667463169,7
Goldspoon,155852716462047233,7
Erin,218783309445070848,6
michaelraiiy,187191860404551680,6
-N1kcla$D,293360731867316225,5
ADFire,194197624033771520,5
MasterOfAngels,200007029828485121,4
kkgrotto,394607820789514240,4
inxxxs,950355173354668073,4
Neefany,997638520661352468,3
Katze,607880171378180098,2
KIT,204923365205475329,2
Mags,804318352751329300,1
WW,754724309276164159,1
Spudnips,252262830328250371,1
trissi,125570628517494784,1
h8er,559869099929239555,1
LYC14,177081986001797120,1
Doctor D,224102067663405057,1
Azvasa,372917838618558474,1
IceDreams,1013313931437150278,1
